site	iso	instance_id	instance_name	instance_abbr	source_url	edition_id	work_id	num_books	num_chapters	num_verses	num_words	text_included
bible.audio	eng	ESV	English standard Version		https://www.bible.audio/affichage-multi-bible.php?passage=&version=ESV	english-standard-version-2001	english-standard-version	27	260	7941	170852	false
bible.audio	eng	KJV	King James		https://www.bible.audio/affichage-multi-bible.php?passage=&version=KJV	king-james-version-1769	king-james-version	27	260	7957	180372	true
bible.audio	eng	NIV	New International Version		https://www.bible.audio/affichage-multi-bible.php?passage=&version=NIV	new-international-version-2011	new-international-version	27	260	7958	168276	false
bible.audio	fra	CRA	Bible Crampon		https://www.bible.audio/affichage-multi-bible.php?passage=&version=CRA	bible-crampon-1923	bible-crampon	27	260	7950	181409	true
bible.audio	fra	DBY	Bible Darby		https://www.bible.audio/affichage-multi-bible.php?passage=&version=DBY	fra-darby-translation-1885	fra-darby-translation	27	260	7954	185591	true
bible.audio	fra	LSG	Bible Louis Segond 1910		https://www.bible.audio/affichage-multi-bible.php?passage=&version=LSG	louis-segond-1910	louis-segond	27	260	7957	179439	true
bible.audio	fra	MAR	Bible Martin		https://www.bible.audio/affichage-multi-bible.php?passage=&version=MAR	bible-martin-1744	bible-martin	27	260	7958	190401	true
bible.audio	fra	OST	Bible Ostervald		https://www.bible.audio/affichage-multi-bible.php?passage=&version=OST	ostervald-1996	ostervald	27	260	7958	184291	true
bible.audio	fra	S21	Bible Segond 21		https://www.bible.audio/affichage-multi-bible.php?passage=&version=S21	segond-21-2007	segond-21	27	260	7957	180066	false
bible.audio	fra	VIG	Bible Vigouroux		https://www.bible.audio/affichage-multi-bible.php?passage=&version=VIG	vigouroux-1900	vigouroux	27	260	7957	185721	true
bible.audio	fra	LAU	Bible de Lausanne		https://www.bible.audio/affichage-multi-bible.php?passage=&version=LAU	lausanne-1872	lausanne	27	260	7957	181215	true
bible.audio	fra	SAC	Bible de Sacy		https://www.bible.audio/affichage-multi-bible.php?passage=&version=SAC	sacy-bible-1759	sacy-bible	27	260	7950	201227	true
bible.audio	fra	GBT	Bible de Tours		https://www.bible.audio/affichage-multi-bible.php?passage=&version=GBT	bible-de-tours-1866	bible-de-tours	27	260	7957	178010	true
bible.audio	fra	SEM	Bible du Semeur		https://www.bible.audio/affichage-multi-bible.php?passage=&version=SEM	bible-du-semeur-1992	bible-du-semeur	27	260	7948	191310	false
bible.audio	fra	BFC	Bible en français courant		https://www.bible.audio/affichage-multi-bible.php?passage=&version=BFC	bible-francais-courant-1997	bible-francais-courant	27	260	7958	191680	false
bible.audio	fra	NEG	Nouvelle Edition de Genève		https://www.bible.audio/affichage-multi-bible.php?passage=&version=NEG	nouvelle-edition-de-geneve-1979	nouvelle-edition-de-geneve	27	260	7957	179343	false
bible.audio	fra	PVI	Parole Vivante		https://www.bible.audio/affichage-multi-bible.php?passage=&version=PVI	parole-vivante-2013-2010	parole-vivante	27	259	7935	190771	false
bible.audio	fra	PDV	Parole de vie		https://www.bible.audio/affichage-multi-bible.php?passage=&version=PDV	parole-de-vie-2000	parole-de-vie	27	260	7924	203340	false
