edition_id	display_name	publication_year	copyright_status	copyright_statement	copyright_statement_source_url	license	rights_holder
2001-translation-2001	2001	2001	public_domain
21st-century-king-james-version-1994	1994	1994	copyrighted
american-king-james-version-1999	1999	1999	public_domain
american-standard-version-1901	1901	1901	public_domain
american-standard-version-2021	2021	2021	public_domain
amplified-bible-1987-classic	1987 classic	1987	copyrighted
amplified-bible-2015	2015	2015	copyrighted
anderson-new-testament-1865	1865	1865	public_domain
aramaic-plain-english-2013-8th-edition	2013 8th edition	2013	copyrighted
berean-literal-bible-2016	2016	2016	public_domain
berean-standard-bible-2016	2016	2016	public_domain
berean-standard-bible-2020	2020	2020	public_domain
berean-standard-bible-2025	2025	2025	public_domain
berean-study-bible-2023	2023	2023	public_domain
bible-crampon-1923	1923	1923	public_domain
bible-de-tours-1866	1866	1866	public_domain
bible-des-peuples-1994	1994	1994	copyrighted
bible-du-semeur-1992	1992	1992	copyrighted
bible-du-semeur-2015	2015	2015	copyrighted
bible-francais-courant-1997	1997	1997	copyrighted
bible-in-basic-english-1941	1941	1941	public_domain
bible-in-basic-english-1965	1965	1965	public_domain
bible-machaira-2013	2013 — Édition lexicographique	2013	presumed_copyrighted
bible-martin-1707	1707	1707	public_domain
bible-martin-1744	1744	1744	public_domain
bible-nouvelle-francais-courant-2019	2019	2019	copyrighted
biblia-brzeska-1563	1563	1563	public_domain
biblia-de-america-2010	2010	2010	copyrighted
biblia-de-la-casa-de-la-biblia-2006	2006	2006	copyrighted
biblia-del-jubileo-2000	2000	2000	copyrighted
biblia-del-oso-1569	1569	1569	public_domain
biblia-gdanska-1632	1632	1632	public_domain
biblia-gdanska-1881	1881	1881	public_domain
biblia-jakuba-wujka-1923	1923	1923	public_domain
biblia-krola-jakuba-2025-1st-edition	2025 1st edition	2025	open_license	Polski przekład Biblii KJV zawarty w niniejszym wydaniu stanowi oryginalne dzieło Adama K. Czermaka i jest chroniony prawem autorskim. Tekst polskiego przekładu może być kopiowany i rozpowszechniany w całości lub we fragmentach, pod warunkiem zachowania integralności treści, bez dokonywania jakichkolwiek zmian, oraz wyłącznie w celach niekomercyjnych.	https://bibliakingjames.org/slowo-od-tlumacza/	LicenseRef-BibliaKrolaJakuba-NC-ND	Adam K. Czermak
biblia-libre-2020	2020	2018	open_license	copyright © 2018-2020 Jonathan Gallagher y Shelly Barrios de Avila. This translation is made available to you under the terms of the Creative Commons Attribution Share-Alike license 4.0.	https://ebible.org/find/show.php?id=spaVBL	CC-BY-SA-4.0	Jonathan Gallagher y Shelly Barrios de Avila
biblia-libre-1-1-beta	1.1 beta	2022	open_license	copyright © 2018-2020 Jonathan Gallagher y Shelly Barrios de Avila. This translation is made available to you under the terms of the Creative Commons Attribution Share-Alike license 4.0.	https://ebible.org/find/show.php?id=spaVBL	CC-BY-SA-4.0	Jonathan Gallagher y Shelly Barrios de Avila
biblia-poznanska-1975	1975	1975	copyrighted
biblia-tysiaclecia-1980-3rd-edition	1980 3rd edition	1980	copyrighted
biblia-tysiaclecia-2000-5th-edition	2000 5th edition	2000	copyrighted
biblia-warszawska-1975	1975	1975	copyrighted
biblia-warszawsko-praska-1997	1997	1997	copyrighted
bishops-bible-1568	1568	1568	public_domain
bovet-bonnet-1900	1900	1900	public_domain
byzantine-text-version-2022	2022	2022	copyrighted
catholic-public-domain-version-2009	2009	2009	public_domain
charles-thomson-1808	1808	1808	public_domain
christian-standard-bible-2017	2017	2017	copyrighted
christian-standard-bible-2024-anglicised	2024 anglicised	2024	copyrighted
common-english-bible-2011	2011	2011	copyrighted
complete-jewish-bible-1998	1998	1998	public_domain
conferenza-episcopale-italiana-1974	1974 — editio minor	1974	public_domain
contemporary-english-version-1991	1991	1991	copyrighted
contemporary-english-version-2006-2nd-edition	2006 2nd edition	2006	copyrighted
contemporary-english-version-2006-2nd-edition-interconfessional	2006 2nd edition interconfessional	2006	copyrighted
contemporary-english-version-2006-2nd-edition-old-tradition	2006 2nd edition old tradition	2006	copyrighted
contemporary-english-version-2012-anglicised	2012 anglicised	2012	copyrighted
coverdale-bible-1535	1535	1535	public_domain
dabrowski-greka-1961-2nd-edition	1961 2nd edition	1961	copyrighted
dabrowski-wulgata-1973-2nd-edition	1973 2nd edition	1973	copyrighted
diodati-bible-1607	1607	1607	public_domain
diodati-bible-1649	1649 — seconda edizione	1649	public_domain
diodati-bible-1885	1885	1885	public_domain
dios-habla-hoy-1994	1994	1994	copyrighted
dios-habla-hoy-1996	1996	1996	copyrighted
dios-habla-hoy-1996-3rd-edition	1996 3rd edition	1996	copyrighted
dios-habla-hoy-2023-4th-edition	2023 4th edition	2023	copyrighted
disciples-literal-new-testament-2011	2011	2011	copyrighted
douay-rheims-1752	1752	1752	public_domain
douay-rheims-1752-challoner-revision	1752 challoner revision	1752	public_domain
douay-rheims-1899-american-edition	1899 american edition	1899	public_domain
easy-to-read-version-1987	1987	1987	copyrighted
easy-to-read-version-2004	2004	2004	copyrighted
easyenglish-bible-2018	2018	2018	copyrighted
easyenglish-bible-2024	2024	2024	copyrighted
eib-nowe-przymierze-literal-2019	2019	2019	copyrighted
eib-nowe-przymierze-literary-2011	2011	2011	copyrighted
